DDI-DrugBank.d481.s0|82-86|EMCYT|brand
DDI-DrugBank.d516.s19|156-161|sodium|group
DDI-DrugBank.d516.s19|210-221|lomefloxacin|drug
DDI-DrugBank.d516.s20|0-11|Lomefloxacin|drug
DDI-DrugBank.d516.s20|57-65|phenytoin|drug
DDI-DrugBank.d516.s21|0-9|Probenecid|drug
DDI-DrugBank.d516.s21|12-21|Probenecid|drug
DDI-DrugBank.d516.s22|31-33|AUC|brand
DDI-DrugBank.d516.s22|90-90|T|brand
DDI-DrugBank.d516.s22|105-105|C|brand
DDI-DrugBank.d516.s23|0-10|Terfenadine|drug
DDI-DrugBank.d516.s23|83-84|QT|brand
DDI-DrugBank.d516.s23|103-113|terfenadine|drug
DDI-DrugBank.d516.s23|129-140|lomefloxacin|drug
DDI-DrugBank.d516.s23|196-207|lomefloxacin|drug
DDI-DrugBank.d516.s23|213-223|terfenadine|drug
DDI-DrugBank.d516.s24|0-7|Warfarin|drug
DDI-DrugBank.d516.s24|10-19|Quinolones|group
DDI-DrugBank.d516.s24|72-79|warfarin|drug
DDI-DrugBank.d516.s25|52-62|prothrombin|drug
DDI-DrugBank.d516.s26|67-77|prothrombin|drug
DDI-DrugBank.d516.s26|93-100|warfarin|drug
DDI-DrugBank.d516.s26|198-205|warfarin|drug
DDI-DrugBank.d516.s26|211-222|lomefloxacin|drug
DDI-DrugBank.d382.s0|0-9|Aprepitant|drug
DDI-DrugBank.d382.s0|67-72|CYP3A4|brand
DDI-DrugBank.d382.s1|0-9|Aprepitant|drug
DDI-DrugBank.d382.s1|33-38|CYP2C9|brand
DDI-DrugBank.d382.s2|10-19|aprepitant|drug
DDI-DrugBank.d382.s3|27-32|CYP3A4|brand
DDI-DrugBank.d382.s3|35-44|aprepitant|drug
DDI-DrugBank.d382.s3|147-152|CYP3A4|brand
DDI-DrugBank.d382.s4|0-9|Aprepitant|drug
DDI-DrugBank.d382.s4|54-54|S|brand
DDI-DrugBank.d382.s4|59-66|warfarin|drug
DDI-DrugBank.d382.s4|72-82|tolbutamide|drug
DDI-DrugBank.d382.s4|115-120|CYP2C9|brand
DDI-DrugBank.d382.s5|20-29|Aprepitant|drug
DDI-DrugBank.d382.s5|99-104|CYP2C9|brand
DDI-DrugBank.d382.s5|115-123|phenytoin|drug
DDI-DrugBank.d382.s6|0-9|Aprepitant|drug
DDI-DrugBank.d382.s6|89-99|transporter|drug
DDI-DrugBank.d382.s6|148-157|Aprepitant|drug
DDI-DrugBank.d382.s6|164-170|digoxin|drug
DDI-DrugBank.d382.s7|0-4|5-HT3|brand
DDI-DrugBank.d382.s7|57-66|aprepitant|drug
DDI-DrugBank.d382.s7|137-147|ondansetron|drug
DDI-DrugBank.d382.s7|152-162|granisetron|drug
DDI-DrugBank.d382.s8|57-66|dolasetron|drug
DDI-DrugBank.d382.s9|0-14|Corticosteroids|group
DDI-DrugBank.d382.s9|17-29|Dexamethasone|drug
DDI-DrugBank.d382.s9|32-41|Aprepitant|drug
DDI-DrugBank.d382.s9|60-66|regimen|brand
DDI-DrugBank.d382.s9|82-94|dexamethasone|drug
DDI-DrugBank.d382.s9|141-150|Aprepitant|drug
DDI-DrugBank.d382.s9|181-193|dexamethasone|drug
DDI-DrugBank.d382.s9|260-262|AUC|brand
DDI-DrugBank.d382.s9|267-279|dexamethasone|drug
DDI-DrugBank.d382.s9|284-289|CYP3A4|brand
DDI-DrugBank.d382.s10|9-21|dexamethasone|drug
DDI-DrugBank.d382.s10|93-102|Aprepitant|drug
DDI-DrugBank.d382.s10|129-141|dexamethasone|drug
DDI-DrugBank.d382.s10|194-203|Aprepitant|drug
DDI-DrugBank.d382.s11|18-30|dexamethasone|drug
DDI-DrugBank.d382.s11|70-79|Aprepitant|drug
DDI-DrugBank.d382.s11|134-146|dexamethasone|drug
DDI-DrugBank.d382.s12|0-17|Methylprednisolone|drug
DDI-DrugBank.d382.s13|0-9|Aprepitant|drug
DDI-DrugBank.d382.s13|28-34|regimen|brand
DDI-DrugBank.d382.s13|100-102|AUC|brand
DDI-DrugBank.d382.s13|107-124|methylprednisolone|drug
DDI-DrugBank.d382.s13|129-134|CYP3A4|brand
DDI-DrugBank.d382.s13|200-217|methylprednisolone|drug
DDI-DrugBank.d382.s14|4-5|IV|brand
DDI-DrugBank.d382.s14|7-24|methylprednisolone|drug
DDI-DrugBank.d382.s14|84-101|methylprednisolone|drug
DDI-DrugBank.d382.s14|172-181|Aprepitant|drug
DDI-DrugBank.d382.s14|207-224|methylprednisolone|drug
DDI-DrugBank.d382.s14|277-286|Aprepitant|drug
DDI-DrugBank.d382.s15|0-7|Warfarin|drug
DDI-DrugBank.d382.s15|10-10|A|brand
DDI-DrugBank.d382.s15|34-43|Aprepitant|drug
DDI-DrugBank.d382.s15|152-159|warfarin|drug
DDI-DrugBank.d382.s16|32-41|Aprepitant|drug
DDI-DrugBank.d382.s16|57-59|AUC|brand
DDI-DrugBank.d382.s16|64-64|R|brand
DDI-DrugBank.d382.s16|72-72|S|brand
DDI-DrugBank.d382.s16|77-84|warfarin|drug
DDI-DrugBank.d382.s16|135-135|S|brand
DDI-DrugBank.d382.s16|139-146|warfarin|drug
DDI-DrugBank.d382.s16|151-156|CYP2C9|brand
DDI-DrugBank.d382.s16|227-237|prothrombin|drug
DDI-DrugBank.d382.s16|291-293|INR|brand
DDI-DrugBank.d382.s16|335-344|Aprepitant|drug
DDI-DrugBank.d382.s17|23-30|warfarin|drug
DDI-DrugBank.d382.s17|45-55|prothrombin|drug
DDI-DrugBank.d382.s17|63-65|INR|brand
DDI-DrugBank.d382.s17|182-188|regimen|brand
DDI-DrugBank.d382.s17|193-202|Aprepitant|drug
DDI-DrugBank.d382.s18|0-10|Tolbutamide|drug
DDI-DrugBank.d382.s18|13-22|Aprepitant|drug
DDI-DrugBank.d382.s18|100-102|AUC|brand
DDI-DrugBank.d382.s18|107-117|tolbutamide|drug
DDI-DrugBank.d382.s18|122-127|CYP2C9|brand
DDI-DrugBank.d382.s18|212-222|tolbutamide|drug
DDI-DrugBank.d382.s18|297-303|regimen|brand
DDI-DrugBank.d382.s18|308-317|Aprepitant|drug
DDI-DrugBank.d382.s19|21-30|Aprepitant|drug
DDI-DrugBank.d382.s19|143-151|estradiol|drug
DDI-DrugBank.d382.s19|165-177|norethindrone|brand
DDI-DrugBank.d382.s19|194-196|AUC|brand
DDI-DrugBank.d382.s19|209-217|estradiol|drug
DDI-DrugBank.d382.s19|245-247|AUC|brand
DDI-DrugBank.d382.s19|252-264|norethindrone|brand
DDI-DrugBank.d382.s20|72-81|Aprepitant|drug
DDI-DrugBank.d382.s21|17-23|regimen|brand
DDI-DrugBank.d382.s21|28-37|Aprepitant|drug
DDI-DrugBank.d382.s22|0-8|Midazolam|drug
DDI-DrugBank.d382.s22|11-20|Aprepitant|drug
DDI-DrugBank.d382.s22|36-38|AUC|brand
DDI-DrugBank.d382.s22|43-51|midazolam|drug
DDI-DrugBank.d382.s22|66-71|CYP3A4|brand
DDI-DrugBank.d382.s22|155-163|midazolam|drug
DDI-DrugBank.d382.s22|213-219|regimen|brand
DDI-DrugBank.d382.s22|224-233|Aprepitant|drug
DDI-DrugBank.d382.s23|60-68|midazolam|drug
DDI-DrugBank.d382.s23|111-116|CYP3A4|brand
DDI-DrugBank.d382.s23|119-128|alprazolam|drug
DDI-DrugBank.d382.s23|131-139|triazolam|drug
DDI-DrugBank.d382.s23|202-211|Aprepitant|drug
DDI-DrugBank.d382.s24|52-60|midazolam|drug
DDI-DrugBank.d382.s24|63-72|Aprepitant|drug
DDI-DrugBank.d382.s24|138-146|midazolam|drug
DDI-DrugBank.d382.s24|153-154|IV|brand
DDI-DrugBank.d382.s24|207-213|regimen|brand
DDI-DrugBank.d382.s24|218-227|Aprepitant|drug
DDI-DrugBank.d382.s25|0-9|Aprepitant|drug
DDI-DrugBank.d382.s25|25-27|AUC|brand
DDI-DrugBank.d382.s25|32-40|midazolam|drug
DDI-DrugBank.d382.s25|76-78|AUC|brand
DDI-DrugBank.d382.s25|83-91|midazolam|drug
DDI-DrugBank.d382.s25|135-144|Aprepitant|drug
DDI-DrugBank.d382.s27|4-6|AUC|brand
DDI-DrugBank.d382.s27|11-19|midazolam|drug
DDI-DrugBank.d382.s28|50-59|aprepitant|drug
DDI-DrugBank.d382.s29|0-9|Aprepitant|drug
DDI-DrugBank.d382.s29|30-35|CYP3A4|brand
DDI-DrugBank.d382.s30|31-40|Aprepitant|drug
DDI-DrugBank.d382.s30|66-71|CYP3A4|brand
DDI-DrugBank.d382.s30|131-140|aprepitant|drug
DDI-DrugBank.d382.s31|44-53|Aprepitant|drug
DDI-DrugBank.d382.s31|67-72|CYP3A4|brand
DDI-DrugBank.d382.s31|92-103|ketoconazole|drug
DDI-DrugBank.d382.s31|106-117|itraconazole|drug
DDI-DrugBank.d382.s31|120-129|nefazodone|drug
DDI-DrugBank.d382.s31|132-145|troleandomycin|drug
DDI-DrugBank.d382.s31|148-161|clarithromycin|drug
DDI-DrugBank.d382.s31|164-172|ritonavir|drug
DDI-DrugBank.d382.s31|175-184|nelfinavir|drug
DDI-DrugBank.d382.s32|17-22|CYP3A4|brand
DDI-DrugBank.d382.s32|42-50|diltiazem|drug
DDI-DrugBank.d382.s32|107-116|aprepitant|drug
DDI-DrugBank.d382.s33|0-9|Aprepitant|drug
DDI-DrugBank.d382.s33|30-35|CYP3A4|brand
DDI-DrugBank.d382.s34|31-40|Aprepitant|drug
DDI-DrugBank.d382.s34|74-79|CYP3A4|brand
DDI-DrugBank.d382.s34|97-104|rifampin|brand
DDI-DrugBank.d382.s34|107-119|carbamazepine|drug
DDI-DrugBank.d382.s34|122-130|phenytoin|drug
DDI-DrugBank.d382.s34|180-189|aprepitant|drug
DDI-DrugBank.d382.s34|232-241|Aprepitant|drug
DDI-DrugBank.d382.s35|0-11|Ketoconazole|drug
DDI-DrugBank.d382.s35|43-52|Aprepitant|drug
DDI-DrugBank.d382.s36|0-11|Ketoconazole|drug
DDI-DrugBank.d382.s36|43-52|Aprepitant|drug
DDI-DrugBank.d382.s36|91-97|regimen|brand
DDI-DrugBank.d382.s36|116-127|ketoconazole|drug
DDI-DrugBank.d382.s36|139-144|CYP3A4|brand
DDI-DrugBank.d382.s36|161-163|AUC|brand
DDI-DrugBank.d382.s36|168-177|aprepitant|drug
DDI-DrugBank.d382.s36|245-254|aprepitant|drug
DDI-DrugBank.d382.s37|30-39|Aprepitant|drug
DDI-DrugBank.d382.s37|53-58|CYP3A4|brand
DDI-DrugBank.d382.s38|0-7|Rifampin|brand
DDI-DrugBank.d382.s38|39-48|Aprepitant|drug
DDI-DrugBank.d382.s38|87-93|regimen|brand
DDI-DrugBank.d382.s38|112-119|rifampin|brand
DDI-DrugBank.d382.s38|131-136|CYP3A4|brand
DDI-DrugBank.d382.s38|151-153|AUC|brand
DDI-DrugBank.d382.s38|158-167|aprepitant|drug
DDI-DrugBank.d382.s39|20-29|Aprepitant|drug
DDI-DrugBank.d382.s39|54-59|CYP3A4|brand
DDI-DrugBank.d382.s39|140-149|Aprepitant|drug
DDI-DrugBank.d382.s41|0-8|Diltiazem|drug
DDI-DrugBank.d382.s41|77-86|aprepitant|drug
DDI-DrugBank.d382.s41|178-186|diltiazem|drug
DDI-DrugBank.d382.s41|254-263|aprepitant|drug
DDI-DrugBank.d382.s41|265-267|AUC|brand
DDI-DrugBank.d382.s41|309-317|diltiazem|drug
DDI-DrugBank.d382.s41|319-321|AUC|brand
DDI-DrugBank.d382.s42|81-83|ECG|brand
DDI-DrugBank.d382.s42|100-104|blood|group
DDI-DrugBank.d382.s42|147-155|diltiazem|drug
DDI-DrugBank.d382.s43|0-9|Paroxetine|drug
DDI-DrugBank.d382.s43|52-61|aprepitant|drug
DDI-DrugBank.d382.s43|151-160|paroxetine|drug
DDI-DrugBank.d382.s43|206-208|AUC|brand
DDI-DrugBank.d382.s43|270-279|aprepitant|drug
DDI-DrugBank.d382.s43|285-294|paroxetine|drug
DDI-DrugBank.d15.s0|35-46|Fondaparinux|drug
DDI-DrugBank.d15.s0|77-90|anticoagulants|group
DDI-DrugBank.d15.s0|93-100|warfarin|drug
DDI-DrugBank.d15.s0|156-164|piroxicam|drug
DDI-DrugBank.d15.s0|172-178|digoxin|drug
DDI-DrugBank.d15.s0|250-261|fondaparinux|drug
DDI-DrugBank.d15.s0|263-268|sodium|group
DDI-DrugBank.d15.s1|13-24|Fondaparinux|drug
DDI-DrugBank.d15.s1|69-76|warfarin|drug
DDI-DrugBank.d15.s1|101-109|piroxicam|drug
DDI-DrugBank.d15.s1|116-122|digoxin|drug
DDI-DrugBank.d15.s1|153-159|digoxin|drug
DDI-DrugBank.d15.s2|36-45|hemorrhage|group
DDI-DrugBank.d15.s2|93-104|Fondaparinux|drug
DDI-DrugBank.d15.s4|62-67|CYP2A6|brand
DDI-DrugBank.d15.s4|86-93|coumarin|drug
DDI-DrugBank.d15.s4|98-109|fondaparinux|drug
DDI-DrugBank.d15.s4|120-120|M|brand
DDI-DrugBank.d15.s5|49-51|2A1|brand
DDI-DrugBank.d15.s5|54-56|2C9|brand
DDI-DrugBank.d15.s5|59-62|2C19|brand
DDI-DrugBank.d15.s5|65-67|2D6|brand
DDI-DrugBank.d15.s5|70-72|3A4|brand
DDI-DrugBank.d15.s5|79-81|3E1|brand
DDI-DrugBank.d15.s6|6-17|fondaparinux|drug
DDI-DrugBank.d15.s6|54-59|CYP1A2|brand
DDI-DrugBank.d15.s6|62-67|CYP2A6|brand
DDI-DrugBank.d15.s6|70-75|CYP2C9|brand
DDI-DrugBank.d15.s6|78-84|CYP2C19|brand
DDI-DrugBank.d15.s6|87-92|CYP2D6|brand
DDI-DrugBank.d15.s6|95-100|CYP2E1|brand
DDI-DrugBank.d15.s6|106-111|CYP3A4|brand
DDI-DrugBank.d15.s6|124-135|fondaparinux|drug
DDI-DrugBank.d15.s6|137-142|sodium|group
DDI-DrugBank.d15.s7|6-17|fondaparinux|drug
DDI-DrugBank.d15.s7|19-24|sodium|group
DDI-DrugBank.d15.s7|64-71|proteins|group
DDI-DrugBank.d15.s7|84-88|ATIII|brand
DDI-DrugBank.d262.s0|23-29|alcohol|brand
DDI-DrugBank.d584.s0|0-13|Anticoagulants|group
DDI-DrugBank.d584.s0|24-31|steroids|group
DDI-DrugBank.d584.s0|66-79|anticoagulants|group
DDI-DrugBank.d584.s1|65-72|maintain|brand
DDI-DrugBank.d584.s1|82-92|prothrombin|drug
DDI-DrugBank.d584.s2|97-104|steroids|group
DDI-DrugBank.d584.s3|0-7|Warfarin|drug
DDI-DrugBank.d584.s3|10-10|A|brand
DDI-DrugBank.d584.s3|31-41|oxandrolone|drug
DDI-DrugBank.d584.s3|64-66|BID|brand
DDI-DrugBank.d584.s3|117-124|warfarin|drug
DDI-DrugBank.d584.s3|203-205|AUC|brand
DDI-DrugBank.d584.s3|282-284|AUC|brand
DDI-DrugBank.d584.s5|0-0|A|brand
DDI-DrugBank.d584.s5|32-39|warfarin|drug
DDI-DrugBank.d584.s5|113-120|warfarin|drug
DDI-DrugBank.d584.s5|146-153|maintain|brand
DDI-DrugBank.d584.s5|164-166|INR|brand
DDI-DrugBank.d584.s6|5-15|oxandrolone|drug
DDI-DrugBank.d584.s6|84-91|warfarin|drug
DDI-DrugBank.d584.s6|98-100|INR|brand
DDI-DrugBank.d584.s6|105-115|prothrombin|drug
DDI-DrugBank.d584.s6|123-124|PT|brand
DDI-DrugBank.d584.s6|171-178|warfarin|drug
DDI-DrugBank.d584.s6|224-226|INR|brand
DDI-DrugBank.d584.s6|231-232|PT|brand
DDI-DrugBank.d584.s7|73-75|INR|brand
DDI-DrugBank.d584.s7|80-81|PT|brand
DDI-DrugBank.d584.s7|106-113|warfarin|drug
DDI-DrugBank.d584.s7|160-170|oxandrolone|drug
DDI-DrugBank.d584.s9|25-35|Oxandrolone|drug
DDI-DrugBank.d584.s10|8-15|steroids|group
DDI-DrugBank.d584.s10|20-23|ACTH|brand
DDI-DrugBank.d584.s10|98-105|steroids|group
DDI-DrugBank.d584.s10|110-113|ACTH|brand
DDI-DrugBank.d584.s11|43-50|steroids|group
DDI-DrugBank.d584.s11|132-133|T4|brand
DDI-DrugBank.d584.s11|135-139|serum|group
DDI-DrugBank.d584.s11|178-179|T3|brand
DDI-DrugBank.d584.s11|185-186|T4|brand
DDI-DrugBank.d584.s12|5-11|thyroid|brand
DDI-DrugBank.d584.s13|27-29|PBI|brand
DDI-DrugBank.d584.s13|47-52|iodine|drug
DDI-MedLine.d119.s0|32-42|fluvastatin|drug
DDI-MedLine.d119.s1|0-10|Fluvastatin|drug
DDI-MedLine.d119.s1|71-71|A|brand
DDI-MedLine.d119.s2|92-101|lovastatin|drug
DDI-MedLine.d119.s2|104-114|simvastatin|drug
DDI-MedLine.d119.s2|121-131|pravastatin|drug
DDI-MedLine.d119.s3|14-24|fluvastatin|drug
DDI-MedLine.d119.s3|39-46|complete|brand
DDI-MedLine.d119.s3|122-125|food|group
DDI-MedLine.d119.s4|33-43|fluvastatin|drug
DDI-MedLine.d119.s5|31-41|fluvastatin|drug
DDI-MedLine.d119.s7|25-28|food|group
DDI-MedLine.d119.s7|57-67|fluvastatin|drug
DDI-MedLine.d119.s8|25-35|fluvastatin|drug
DDI-MedLine.d119.s9|103-113|cholesterol|drug
DDI-MedLine.d119.s10|24-34|fluvastatin|drug
DDI-MedLine.d119.s11|61-71|fluvastatin|drug
DDI-MedLine.d119.s13|38-48|fluvastatin|drug
DDI-MedLine.d119.s13|205-211|examine|drug
DDI-MedLine.d119.s14|45-55|fluvastatin|drug
DDI-MedLine.d119.s15|0-13|Cholestyramine|drug
DDI-MedLine.d119.s15|103-113|fluvastatin|drug
DDI-MedLine.d119.s16|41-54|cholestyramine|drug
DDI-MedLine.d119.s16|83-93|fluvastatin|drug
DDI-MedLine.d119.s16|101-107|regimen|brand
DDI-MedLine.d119.s17|30-37|warfarin|drug
DDI-MedLine.d119.s17|49-59|prothrombin|drug
DDI-MedLine.d119.s17|132-139|warfarin|drug
DDI-MedLine.d119.s17|145-155|fluvastatin|drug
DDI-MedLine.d119.s18|46-51|niacin|drug
DDI-MedLine.d119.s18|57-67|propranolol|drug
DDI-MedLine.d119.s18|105-115|fluvastatin|drug
DDI-MedLine.d119.s18|197-203|digoxin|drug
DDI-MedLine.d119.s18|267-273|digoxin|drug
DDI-MedLine.d119.s18|287-293|control|brand
DDI-MedLine.d119.s19|25-28|date|drug
DDI-MedLine.d119.s19|71-81|fluvastatin|drug
DDI-DrugBank.d500.s0|8-20|tetracyclines|group
DDI-DrugBank.d500.s0|56-66|prothrombin|drug
DDI-DrugBank.d500.s1|117-129|tetracyclines|group
DDI-DrugBank.d500.s2|14-26|tetracyclines|group
DDI-DrugBank.d500.s2|43-50|antacids|group
DDI-DrugBank.d500.s2|73-79|calcium|drug
DDI-DrugBank.d500.s2|85-93|magnesium|drug
DDI-DrugBank.d500.s3|14-25|tetracycline|drug
DDI-DrugBank.d500.s3|42-48|bismuth|brand
DDI-DrugBank.d500.s4|0-11|Barbiturates|group
DDI-DrugBank.d500.s4|14-26|carbamazepine|drug
DDI-DrugBank.d500.s4|33-41|phenytoin|drug
DDI-DrugBank.d500.s4|69-79|doxycycline|drug
DDI-DrugBank.d500.s5|22-33|tetracycline|drug
DDI-DrugBank.d500.s5|50-63|methoxyflurane|drug
DDI-DrugBank.d500.s6|18-29|tetracycline|drug
DDI-DrugBank.d500.s7|62-74|catecholamine|drug
DDI-DrugBank.d508.s0|19-26|Activase|brand
DDI-DrugBank.d508.s1|40-46|heparin|drug
DDI-DrugBank.d508.s1|60-60|K|brand
DDI-DrugBank.d508.s1|141-152|dipyridamole|drug
DDI-DrugBank.d508.s1|158-166|Abciximab|drug
DDI-DrugBank.d508.s1|246-253|Activase|brand
DDI-DrugBank.d508.s2|23-29|Aspirin|brand
DDI-DrugBank.d508.s2|35-41|heparin|drug
DDI-DrugBank.d508.s2|112-119|Activase|brand
DDI-DrugBank.d508.s3|8-14|heparin|drug
DDI-DrugBank.d508.s3|17-23|aspirin|brand
DDI-DrugBank.d508.s3|29-36|Activase|brand
DDI-DrugBank.d508.s4|23-29|heparin|drug
DDI-DrugBank.d508.s4|34-40|aspirin|brand
DDI-DrugBank.d508.s4|115-119|NINDS|brand
DDI-DrugBank.d508.s5|40-47|Activase|brand
DDI-DrugBank.d535.s0|0-5|CYP450|brand
DDI-DrugBank.d535.s0|80-90|enfuvirtide|drug
DDI-DrugBank.d535.s0|195-200|CYP450|brand
DDI-DrugBank.d535.s0|202-208|enzymes|group
DDI-DrugBank.d535.s1|147-157|enfuvirtide|drug
DDI-DrugBank.d396.s0|34-43|analgesics|group
DDI-DrugBank.d396.s0|91-93|CNS|brand
DDI-DrugBank.d396.s0|118-124|alcohol|brand
DDI-DrugBank.d396.s0|146-156|hydrocodone|drug
DDI-DrugBank.d396.s0|162-174|acetaminophen|drug
DDI-DrugBank.d396.s0|208-210|CNS|brand
DDI-DrugBank.d396.s2|11-13|MAO|brand
DDI-DrugBank.d396.s2|60-70|hydrocodone|drug
DDI-DrugBank.d396.s2|141-151|hydrocodone|drug
DDI-DrugBank.d396.s3|44-54|hydrocodone|drug
DDI-DrugBank.d426.s1|121-137|dihydroergotamine|drug
DDI-DrugBank.d426.s1|142-153|methysergide|drug
DDI-DrugBank.d426.s1|160-164|FROVA|brand
DDI-DrugBank.d426.s1|241-242|CI|brand
DDI-DrugBank.d426.s1|244-260|CONTRAINDICATIONS|brand
DDI-DrugBank.d426.s2|25-33|5-HT1B/1D|brand
DDI-DrugBank.d426.s2|63-67|FROVA|brand
DDI-DrugBank.d426.s3|10-18|serotonin|drug
DDI-DrugBank.d426.s3|55-64|fluoxetine|drug
DDI-DrugBank.d426.s3|67-77|fluvoxamine|drug
DDI-DrugBank.d426.s3|80-89|paroxetine|drug
DDI-DrugBank.d426.s3|92-101|sertraline|drug
DDI-DrugBank.d426.s3|210-214|5-HT1|brand
DDI-DrugBank.d426.s4|30-41|frovatriptan|drug
DDI-DrugBank.d426.s4|50-53|SSRI|brand
DDI-DrugBank.d426.s5|34-38|FROVA|brand
DDI-MedLine.d231.s0|21-32|moxifloxacin|drug
DDI-MedLine.d231.s0|38-49|lomefloxacin|drug
DDI-MedLine.d231.s1|0-11|Moxifloxacin|drug
DDI-MedLine.d231.s1|17-28|lomefloxacin|drug
DDI-MedLine.d231.s2|0-15|Fluoroquinolones|group
DDI-MedLine.d231.s3|6-17|moxifloxacin|drug
DDI-MedLine.d231.s3|23-34|lomefloxacin|drug
DDI-MedLine.d231.s3|36-51|fluoroquinolones|group
DDI-MedLine.d231.s3|99-108|sucralfate|drug
DDI-MedLine.d231.s3|111-117|gelusil|brand
DDI-MedLine.d231.s3|120-131|erythromycin|drug
DDI-MedLine.d231.s3|143-150|minerals|group
DDI-MedLine.d231.s4|101-101|C|brand
DDI-MedLine.d231.s5|52-55|body|brand
DDI-MedLine.d231.s5|87-88|pH|drug
DDI-MedLine.d231.s6|16-27|moxifloxacin|drug
DDI-MedLine.d231.s6|33-44|lomefloxacin|drug
DDI-MedLine.d231.s6|159-162|HPLC|brand
DDI-MedLine.d231.s6|176-178|PDA|brand
DDI-MedLine.d231.s7|38-53|fluoroquinolones|group
DDI-MedLine.d231.s7|71-71|C|brand
DDI-MedLine.d231.s8|0-11|Moxifloxacin|drug
DDI-MedLine.d231.s8|17-28|Lomefloxacin|drug
DDI-MedLine.d231.s8|49-58|sucralfate|drug
DDI-MedLine.d231.s8|64-70|gelusil|brand
DDI-MedLine.d231.s8|101-112|erythromycin|drug
DDI-MedLine.d231.s9|37-52|fluoroquinolones|group
DDI-MedLine.d231.s10|34-44|therapeutic|brand
DDI-DrugBank.d77.s2|62-72|anesthetics|group
DDI-DrugBank.d77.s2|108-112|amine|drug
DDI-DrugBank.d77.s2|121-131|epinephrine|drug
DDI-DrugBank.d77.s2|134-147|norepinephrine|drug
DDI-DrugBank.d77.s2|239-252|catecholamines|group
DDI-DrugBank.d77.s3|33-42|imipramine|drug
DDI-DrugBank.d77.s3|89-93|blood|group
DDI-DrugBank.d77.s4|0-9|Imipramine|drug
DDI-DrugBank.d77.s4|55-57|CNS|brand
DDI-DrugBank.d77.s5|28-37|imipramine|drug
DDI-DrugBank.d77.s5|127-136|cimetidine|drug
DDI-DrugBank.d77.s5|139-148|fluoxetine|drug
DDI-DrugBank.d77.s5|228-239|barbiturates|group
DDI-DrugBank.d77.s5|242-250|phenytoin|drug
DDI-DrugBank.d77.s5|286-295|imipramine|drug
DDI-DrugBank.d77.s6|21-24|P450|drug
DDI-DrugBank.d77.s6|26-28|2D6|brand
DDI-DrugBank.d77.s6|99-102|P450|drug
DDI-DrugBank.d77.s6|104-106|2D6|brand
DDI-DrugBank.d77.s7|48-51|P450|drug
DDI-DrugBank.d77.s7|53-55|2D6|brand
DDI-DrugBank.d77.s9|49-52|P450|drug
DDI-DrugBank.d77.s9|54-56|2D6|brand
DDI-DrugBank.d77.s9|152-154|AUC|brand
DDI-DrugBank.d77.s9|163-165|TCA|brand
DDI-DrugBank.d77.s12|47-49|TCA|brand
DDI-DrugBank.d77.s13|34-37|P450|drug
DDI-DrugBank.d77.s13|39-41|2D6|brand
DDI-DrugBank.d77.s13|96-104|quinidine|drug
DDI-DrugBank.d77.s14|0-9|cimetidine|drug
DDI-DrugBank.d77.s14|45-48|P450|drug
DDI-DrugBank.d77.s14|50-52|2D6|brand
DDI-DrugBank.d77.s14|83-96|phenothiazines|group
DDI-DrugBank.d77.s14|112-113|1C|brand
DDI-DrugBank.d77.s14|131-141|propafenone|drug
DDI-DrugBank.d77.s14|147-156|flecainide|drug
DDI-DrugBank.d77.s15|24-32|serotonin|drug
DDI-DrugBank.d77.s15|70-79|fluoxetine|drug
DDI-DrugBank.d77.s15|82-91|sertraline|drug
DDI-DrugBank.d77.s15|98-107|paroxetine|drug
DDI-DrugBank.d77.s15|118-121|P450|drug
DDI-DrugBank.d77.s15|123-125|2D6|brand
DDI-DrugBank.d77.s16|20-27|SSRI-TCA|brand
DDI-DrugBank.d77.s16|88-93|degree|brand
DDI-DrugBank.d77.s16|142-145|SSRI|brand
DDI-DrugBank.d77.s17|63-66|TCA5|brand
DDI-DrugBank.d77.s18|72-74|TCA|brand
DDI-DrugBank.d77.s18|120-129|fluoxetine|drug
DDI-DrugBank.d77.s19|84-87|P450|drug
DDI-DrugBank.d77.s19|89-91|2D6|brand
DDI-DrugBank.d77.s21|27-29|TCA|brand
DDI-DrugBank.d77.s21|56-58|TCA|brand
DDI-DrugBank.d77.s21|137-140|P450|drug
DDI-DrugBank.d77.s21|142-144|2D6|brand
DDI-DrugBank.d696.s0|0-11|Methysergide|drug
DDI-DrugBank.d696.s0|29-37|analgesic|brand
DDI-DrugBank.d696.s0|60-69|analgesics|group
DDI-DrugBank.d696.s1|59-67|alkaloids|group
DDI-DrugBank.d696.s1|70-80|sumatriptan|drug
DDI-DrugBank.d696.s1|87-94|nicotine|drug
DDI-DrugBank.d696.s1|134-149|vasoconstriction|group
DDI-DrugBank.d80.s0|36-41|Mentax|brand
DDI-DrugBank.d80.s0|44-53|butenafine|drug
DDI-DrugBank.d154.s0|24-30|aspirin|brand
DDI-DrugBank.d154.s0|68-77|fenoprofen|drug
DDI-DrugBank.d154.s0|174-183|fenoprofen|drug
DDI-DrugBank.d154.s1|46-55|fenoprofen|drug
DDI-DrugBank.d154.s1|61-67|aspirin|brand
DDI-DrugBank.d154.s1|128-137|fenoprofen|drug
DDI-DrugBank.d154.s2|8-13|Nalfon|brand
DDI-DrugBank.d154.s2|93-99|aspirin|brand
DDI-DrugBank.d154.s2|119-125|aspirin|brand
